"estudio_id","nombre","pais"
"E_VALVE","Valve",
"E_PUBG_CORPORATION","PUBG Corporation",
"E_POCKETPAIR","Pocketpair",
"E_RESPAWN","Respawn",
"E_RE_LOGIC","Re-Logic",
"E_GAME_SCIENCE","Game Science",
"E_INFINITY_WARD","Infinity Ward",
"E_TREYARCH","Treyarch",
"E_LAST_MINUTE_STUDIO","Last Minute Studios",
"E_HIKE_INC","HIKE Inc.",
"E_IGG_SINGAPORE_PTE_","IGG SINGAPORE PTE. LTD.",
"E_SHLEKS","ShLeks",
"E_TED_ZUFLE","Ted Zufle",
"E_YOUR_SISTER","Your Sister!",
"E_LOVELY_GIRLS_STUDI","Lovely Girls Studio",
"E_UVULA_LLC","uvula LLC",
"E_GAMEBEAST_PRODUCTI","GameBeast Productions",
"E_ALTAI_ENTERTAINMEN","Altai Entertainment",
"E_TFMGRAFOS","TFMGrafos",
