style,question,answer,n_ctx,ctx_0
zero_shot,¿Qué género tiene Microjuego?,Microjuego pertenece al género FPS.,4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
zero_shot,¿Quién desarrolló Microjuego?,TFMGrafos,4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
zero_shot,¿A qué género pertenece Microjuego?,Microjuego pertenece al género FPS.,4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
zero_shot,¿Qué estudio desarrolló Microjuego?,TFMGrafos,4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
zero_shot,Indica el género de Microjuego.,FPS,4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
few_shot,Dime el estudio que desarrolló Microjuego.,TFMGrafos,4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
few_shot,¿A qué género pertenece Microjuego?,Microjuego pertenece al género FPS.,4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
few_shot,Indica el estudio de Microjuego.,El estudio de Microjuego es TFMGrafos.,4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
few_shot,¿A qué género pertenece Microjuego?,Microjuego pertenece al género FPS.,4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
few_shot,Indica el estudio de Microjuego.,El estudio de Microjuego es TFMGrafos.,4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
self_verification,Cita un ejemplo del contexto donde un jugador registre una actividad e indica el juego.,El jugador U004 registró una actividad en 2025-09-20 del juego Microjuego en el servidor S3 con la versión V103.,4,El jugador U004 registró una actividad en 2025-09-20 del juego Microjuego en el servidor S3 con la versión V103
self_verification,Menciona un ejemplo de actividad que indique servidor.,El jugador U017 registró una actividad en 2025-09-14 del juego Microjuego en el servidor S1 con la versión V103.,4,El jugador U017 registró una actividad en 2025-09-14 del juego Microjuego en el servidor S1 con la versión V103
self_verification,Menciona un ejemplo de actividad que indique versión.,El jugador U017 registró una actividad en 2025-09-14 del juego Microjuego en el servidor S1 con la versión V103.,4,El jugador U017 registró una actividad en 2025-09-14 del juego Microjuego en el servidor S1 con la versión V103
self_verification,Indica un ejemplo de actividad con la fecha o número de sesión.,El jugador U001 registró una actividad en 2025-09-14 del juego Microjuego en el servidor S2 con la versión V103.,4,El jugador U001 registró una actividad en 2025-09-14 del juego Microjuego en el servidor S2 con la versión V103
self_verification,Resume en una frase una actividad cualquiera del contexto (jugador + juego).,El jugador U017 registró una actividad en el juego Microjuego en el servidor S1 el 19 de septiembre de 2025.,4,El jugador U017 registró una actividad en 2025-09-19 del juego Microjuego en el servidor S1 con la versión V103
chain_of_thought,Devuelve un ejemplo de juego y su género del contexto.,"Microjuego, género FPS.",4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
chain_of_thought,Devuelve un ejemplo de juego y su estudio del contexto.,El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC.,4,El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC
chain_of_thought,Indica el género y el estudio de Microjuego en una sola frase.,Microjuego es un FPS desarrollado por TFMGrafos.,4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
chain_of_thought,Indica el género y el estudio de Microjuego en una sola frase.,Microjuego es un FPS desarrollado por TFMGrafos.,4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
chain_of_thought,Menciona otro juego distinto a Microjuego y su estudio.,"Mystopia, desarrollado por Last Minute Studios.",4,El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos
